N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.5|0.33333334|1.0|0.5
3|0.6|0.5|1.0|0.6666667
4|0.5|0.4|1.0|0.5714286
5|0.42857143|0.33333334|1.0|0.5
6|0.375|0.2857143|1.0|0.44444448
7|0.44444445|0.2857143|1.0|0.44444448
8|0.5|0.375|1.0|0.54545456
9|0.54545456|0.44444445|1.0|0.61538464
10|0.5|0.4|1.0|0.5714286
11|0.53846157|0.4|1.0|0.5714286
12|0.5|0.36363637|1.0|0.53333336
13|0.5|0.36363637|1.0|0.53333336
14|0.53333336|0.36363637|1.0|0.53333336
15|0.5|0.36363637|0.8|0.5
16|0.5294118|0.36363637|0.8|0.5
17|0.5555556|0.41666666|0.8333333|0.5555555
18|0.5263158|0.3846154|0.8333333|0.5263158
19|0.55|0.42857143|0.85714287|0.5714286
20|0.52380955|0.42857143|0.75|0.5454545
21|0.54545456|0.42857143|0.75|0.5454545
22|0.5217391|0.4|0.75|0.5217392
23|0.5416667|0.4|0.75|0.5217392
24|0.56|0.4375|0.7777778|0.56
25|0.5769231|0.47058824|0.8|0.5925926
26|0.5925926|0.47058824|0.8|0.5925926
27|0.5714286|0.47058824|0.72727275|0.5714286
28|0.5862069|0.47058824|0.72727275|0.5714286
29|0.56666666|0.47058824|0.6666667|0.55172414
30|0.58064514|0.5|0.6923077|0.58064514
31|0.5625|0.5|0.64285713|0.5625
32|0.57575756|0.5263158|0.6666667|0.5882354
33|0.5588235|0.5263158|0.625|0.57142854
34|0.54285717|0.5|0.625|0.5555556
35|0.54285717|0.5|0.625|0.5555556
36|0.5277778|0.5|0.5882353|0.5405405
37|0.5405405|0.52380955|0.6111111|0.5641026
38|0.55263156|0.54545456|0.6315789|0.58536583
39|0.55263156|0.54545456|0.6315789|0.58536583
40|0.5641026|0.54545456|0.6315789|0.58536583
41|0.575|0.54545456|0.6315789|0.58536583
42|0.58536583|0.54545456|0.6315789|0.58536583
43|0.5952381|0.5652174|0.65|0.60465115
44|0.5813953|0.5416667|0.65|0.5909091
