N|TP|FP|FN|TN|Acuraccy|Precision|Recall|F-Measure
1|2|0|1|0|1.0|1.0|1.0|1.0
2|3|0|1|0|1.0|1.0|1.0|1.0
3|3|1|1|0|0.8|0.75|1.0|0.85714287
4|4|1|1|0|0.8333333|0.8|1.0|0.88888896
5|5|1|1|0|0.85714287|0.8333333|1.0|0.90909094
6|6|1|1|0|0.875|0.85714287|1.0|0.9230769
7|7|1|1|0|0.8888889|0.875|1.0|0.93333334
8|8|1|1|0|0.9|0.8888889|1.0|0.94117653
9|9|1|1|0|0.90909094|0.9|1.0|0.9473684
10|10|1|1|0|0.9166667|0.90909094|1.0|0.95238096
11|11|1|1|0|0.9230769|0.9166667|1.0|0.95652175
12|12|1|1|0|0.9285714|0.9230769|1.0|0.96000004
13|13|1|1|0|0.93333334|0.9285714|1.0|0.9629629
14|14|1|1|0|0.9375|0.93333334|1.0|0.9655172
15|15|1|1|0|0.9411765|0.9375|1.0|0.9677419
16|16|1|1|0|0.9444444|0.9411765|1.0|0.969697
17|17|1|1|0|0.94736844|0.9444444|1.0|0.9714286
18|18|1|1|0|0.95|0.94736844|1.0|0.972973
19|19|1|1|0|0.95238096|0.95|1.0|0.9743589
20|19|2|1|0|0.90909094|0.9047619|1.0|0.95
21|20|2|1|0|0.9130435|0.90909094|1.0|0.95238096
22|21|2|1|0|0.9166667|0.9130435|1.0|0.95454544
23|22|2|1|0|0.92|0.9166667|1.0|0.95652175
24|22|3|1|0|0.88461536|0.88|1.0|0.9361702
25|23|3|1|0|0.8888889|0.88461536|1.0|0.9387755
26|24|3|1|0|0.89285713|0.8888889|1.0|0.94117653
27|25|3|1|0|0.8965517|0.89285713|1.0|0.9433963
28|26|3|1|0|0.9|0.8965517|1.0|0.94545454
29|27|3|1|0|0.9032258|0.9|1.0|0.9473684
30|28|3|1|0|0.90625|0.9032258|1.0|0.9491525
31|29|3|1|0|0.90909094|0.90625|1.0|0.9508197
32|30|3|1|0|0.9117647|0.90909094|1.0|0.95238096
33|31|3|1|0|0.9142857|0.9117647|1.0|0.95384616
34|32|3|1|0|0.9166667|0.9142857|1.0|0.9552239
35|32|3|1|1|0.8918919|0.9142857|0.969697|0.94117653
36|33|3|1|1|0.8947368|0.9166667|0.9705882|0.94285715
37|34|3|1|1|0.8974359|0.9189189|0.9714286|0.9444444
38|35|3|1|1|0.9|0.92105263|0.9722222|0.945946
39|36|3|1|1|0.902439|0.9230769|0.972973|0.9473684
40|37|3|1|1|0.9047619|0.925|0.9736842|0.9487179
41|38|3|1|1|0.90697676|0.9268293|0.974359|0.95
42|39|3|1|1|0.90909094|0.9285714|0.975|0.9512195
43|40|3|1|1|0.9111111|0.9302326|0.9756098|0.952381
44|41|3|1|1|0.9130435|0.9318182|0.97619045|0.9534884
45|42|3|1|1|0.9148936|0.93333334|0.9767442|0.95454544
46|43|3|1|1|0.9166667|0.9347826|0.97727275|0.95555556
47|44|3|1|1|0.9183673|0.9361702|0.9777778|0.9565217
48|44|4|1|1|0.9|0.9166667|0.9777778|0.94623655
49|45|4|1|1|0.9019608|0.9183673|0.9782609|0.94736844
50|45|5|1|1|0.88461536|0.9|0.9782609|0.9375
51|46|5|1|1|0.8867925|0.9019608|0.9787234|0.93877554
52|47|5|1|1|0.8888889|0.90384614|0.9791667|0.94
53|48|5|1|1|0.8909091|0.9056604|0.97959185|0.9411765
54|49|5|1|1|0.89285713|0.9074074|0.98|0.9423077
55|50|5|1|1|0.8947368|0.90909094|0.98039216|0.9433963
56|50|5|1|2|0.87931037|0.90909094|0.96153843|0.9345795
57|50|5|1|3|0.86440676|0.90909094|0.9433962|0.92592597
58|50|5|1|4|0.85|0.90909094|0.9259259|0.91743124
59|51|5|1|4|0.852459|0.91071427|0.92727274|0.91891897
60|51|5|1|5|0.83870965|0.91071427|0.91071427|0.91071427
61|52|5|1|5|0.84126985|0.9122807|0.9122807|0.9122807
62|53|5|1|5|0.84375|0.9137931|0.9137931|0.9137931
63|54|5|1|5|0.84615386|0.91525424|0.91525424|0.91525424
64|55|5|1|5|0.8484849|0.9166667|0.9166667|0.9166667
65|55|5|1|6|0.8358209|0.9166667|0.90163934|0.90909094
66|56|5|1|6|0.8382353|0.91803277|0.9032258|0.9105691
67|57|5|1|6|0.8405797|0.91935486|0.9047619|0.912
68|58|5|1|6|0.8428571|0.9206349|0.90625|0.91338575
69|59|5|1|6|0.8450704|0.921875|0.9076923|0.9147287
70|60|5|1|6|0.8472222|0.9230769|0.90909094|0.9160305
71|61|5|1|6|0.84931505|0.92424244|0.9104478|0.91729325
72|62|5|1|6|0.8513514|0.92537314|0.9117647|0.9185185
73|63|5|1|6|0.85333335|0.9264706|0.9130435|0.9197081
74|64|5|1|6|0.8552632|0.92753625|0.9142857|0.92086333
75|65|5|1|6|0.85714287|0.9285714|0.91549295|0.9219858
76|66|5|1|6|0.85897434|0.92957747|0.9166667|0.923077
77|67|5|1|6|0.8607595|0.9305556|0.91780823|0.9241379
78|68|5|1|6|0.8625|0.9315069|0.9189189|0.92517006
79|69|5|1|6|0.86419755|0.9324324|0.92|0.92617446
80|70|5|1|6|0.86585367|0.93333334|0.92105263|0.92715234
81|71|5|1|6|0.8674699|0.93421054|0.9220779|0.9281046
82|72|5|1|6|0.86904764|0.9350649|0.9230769|0.9290322
83|73|5|1|6|0.87058824|0.9358974|0.9240506|0.9299363
84|74|5|1|6|0.872093|0.93670887|0.925|0.93081766
85|75|5|1|6|0.87356323|0.9375|0.9259259|0.931677
86|76|5|1|6|0.875|0.9382716|0.9268293|0.9325153
87|77|5|1|6|0.8764045|0.9390244|0.92771083|0.93333334
88|78|5|1|6|0.87777776|0.939759|0.9285714|0.9341317
89|79|5|1|6|0.8791209|0.9404762|0.92941177|0.93491125
90|80|5|1|6|0.8804348|0.9411765|0.9302326|0.9356725
91|81|5|1|6|0.8817204|0.94186044|0.9310345|0.93641615
92|82|5|1|6|0.88297874|0.9425287|0.9318182|0.9371428
93|83|5|1|6|0.8842105|0.9431818|0.9325843|0.93785316
94|84|5|1|6|0.8854167|0.94382024|0.93333334|0.9385475
95|85|5|1|6|0.88659793|0.9444444|0.93406594|0.9392265
96|86|5|1|6|0.8877551|0.94505495|0.9347826|0.93989074
97|87|5|1|6|0.8888889|0.9456522|0.9354839|0.94054055
98|87|5|1|7|0.88|0.9456522|0.9255319|0.9354839
99|88|5|1|7|0.8811881|0.94623655|0.9263158|0.93617016
100|89|5|1|7|0.88235295|0.9468085|0.9270833|0.9368421
101|89|5|1|8|0.8737864|0.9468085|0.91752577|0.9319371
102|89|5|1|9|0.86538464|0.9468085|0.90816325|0.9270834
103|89|5|1|10|0.85714287|0.9468085|0.8989899|0.9222798
104|90|5|1|10|0.8584906|0.94736844|0.9|0.92307687
105|91|5|1|10|0.8598131|0.9479167|0.9009901|0.9238579
106|91|5|1|11|0.8518519|0.9479167|0.89215684|0.9191919
107|92|5|1|11|0.853211|0.9484536|0.89320385|0.92
