N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.75|0.6666667|1.0|0.8
3|0.6|0.5|1.0|0.6666667
4|0.6666667|0.6|1.0|0.75
5|0.5714286|0.5|1.0|0.6666667
6|0.5|0.42857143|1.0|0.59999996
7|0.44444445|0.42857143|0.75|0.5454545
8|0.4|0.375|0.75|0.5
9|0.45454547|0.44444445|0.8|0.57142854
10|0.41666666|0.4|0.8|0.53333336
11|0.46153846|0.4|0.8|0.53333336
12|0.42857143|0.36363637|0.8|0.5
13|0.46666667|0.41666666|0.8333333|0.5555555
14|0.5|0.41666666|0.8333333|0.5555555
15|0.5294118|0.41666666|0.8333333|0.5555555
16|0.5555556|0.41666666|0.8333333|0.5555555
17|0.57894737|0.46153846|0.85714287|0.59999996
18|0.6|0.5|0.875|0.6363636
19|0.5714286|0.46666667|0.875|0.6086956
20|0.54545456|0.46666667|0.7777778|0.5833333
21|0.5652174|0.46666667|0.7777778|0.5833333
22|0.5833333|0.5|0.8|0.61538464
23|0.6|0.5|0.8|0.61538464
24|0.61538464|0.5294118|0.8181818|0.6428572
25|0.6296296|0.5555556|0.8333333|0.66666675
26|0.64285713|0.5555556|0.8333333|0.66666675
27|0.6551724|0.5555556|0.8333333|0.66666675
28|0.6666667|0.5555556|0.8333333|0.66666675
29|0.6451613|0.5555556|0.7692308|0.6451613
30|0.65625|0.57894737|0.78571427|0.6666666
31|0.6363636|0.57894737|0.73333335|0.64705884
32|0.64705884|0.6|0.75|0.6666667
33|0.6571429|0.6|0.75|0.6666667
34|0.6666667|0.61904764|0.7647059|0.68421054
35|0.6756757|0.61904764|0.7647059|0.68421054
36|0.65789473|0.61904764|0.7222222|0.6666667
37|0.6666667|0.6363636|0.7368421|0.6829269
38|0.675|0.65217394|0.75|0.6976744
39|0.6585366|0.65217394|0.71428573|0.68181825
40|0.6666667|0.65217394|0.71428573|0.68181825
41|0.6511628|0.65217394|0.6818182|0.6666667
42|0.6363636|0.65217394|0.65217394|0.65217394
43|0.64444447|0.6666667|0.6666667|0.6666667
44|0.65217394|0.68|0.68|0.68
45|0.63829786|0.65384614|0.68|0.6666667
46|0.6458333|0.6666667|0.6923077|0.6792453
47|0.63265306|0.6666667|0.6666667|0.6666667
48|0.64|0.6785714|0.6785714|0.6785714
49|0.64705884|0.6785714|0.6785714|0.6785714
50|0.63461536|0.6785714|0.6551724|0.6666667
51|0.6415094|0.6896552|0.6666667|0.6779662
52|0.6481481|0.7|0.67741936|0.6885246
53|0.6545454|0.7|0.67741936|0.6885246
54|0.66071427|0.7096774|0.6875|0.69841266
55|0.6666667|0.7096774|0.6875|0.69841266
56|0.67241377|0.71875|0.6969697|0.70769227
57|0.66101694|0.6969697|0.6969697|0.6969697
58|0.66101694|0.6969697|0.6969697|0.6969697
59|0.65|0.6764706|0.6969697|0.6865671
60|0.6557377|0.6764706|0.6969697|0.6865671
61|0.6451613|0.6571429|0.6969697|0.6764706
62|0.6507937|0.6571429|0.6969697|0.6764706
63|0.65625|0.6571429|0.6969697|0.6764706
64|0.64615387|0.6388889|0.6969697|0.6666666
65|0.6515151|0.6388889|0.6969697|0.6666666
66|0.6567164|0.6388889|0.6969697|0.6666666
67|0.6617647|0.6486486|0.7058824|0.67605627
68|0.65217394|0.6315789|0.7058824|0.6666667
69|0.64285713|0.61538464|0.7058824|0.6575343
70|0.64788735|0.625|0.71428573|0.6666667
71|0.6388889|0.625|0.6944444|0.65789473
72|0.6438356|0.625|0.6944444|0.65789473
73|0.6486486|0.63414633|0.7027027|0.6666667
74|0.64|0.61904764|0.7027027|0.6582278
75|0.6315789|0.61904764|0.68421054|0.65000004
76|0.6233766|0.61904764|0.6666667|0.6419753
77|0.61538464|0.61904764|0.65|0.63414633
78|0.62025315|0.627907|0.6585366|0.6428572
79|0.625|0.627907|0.6585366|0.6428572
80|0.61728394|0.6136364|0.6585366|0.6352942
81|0.6219512|0.6136364|0.6585366|0.6352942
82|0.61445785|0.6|0.6585366|0.62790704
83|0.60714287|0.5869565|0.6585366|0.62068963
84|0.6117647|0.59574467|0.6666667|0.6292135
85|0.61627907|0.6041667|0.6744186|0.63736266
86|0.62068963|0.6122449|0.6818182|0.6451613
87|0.6136364|0.6122449|0.6666667|0.63829786
88|0.60674155|0.6|0.6666667|0.63157904
89|0.6|0.6|0.65217394|0.62500006
90|0.6043956|0.6|0.65217394|0.62500006
91|0.59782606|0.6|0.63829786|0.6185567
92|0.5913978|0.5882353|0.63829786|0.6122449
93|0.59574467|0.59615386|0.6458333|0.61999995
94|0.6|0.59615386|0.6458333|0.61999995
95|0.6041667|0.6037736|0.6530612|0.627451
96|0.6082474|0.6037736|0.6530612|0.627451
97|0.6122449|0.6111111|0.66|0.63461536
98|0.61616164|0.6111111|0.66|0.63461536
99|0.62|0.6181818|0.6666667|0.6415095
100|0.62|0.6181818|0.6666667|0.6415095
101|0.62376237|0.625|0.6730769|0.6481482
102|0.61764705|0.61403507|0.6730769|0.6422018
103|0.61165047|0.6034483|0.6730769|0.6363636
104|0.61538464|0.6034483|0.6730769|0.6363636
105|0.61904764|0.6034483|0.6730769|0.6363636
106|0.6132075|0.6034483|0.6603774|0.6306307
107|0.60747665|0.59322035|0.6603774|0.625
108|0.6111111|0.59322035|0.6603774|0.625
109|0.6146789|0.59322035|0.6603774|0.625
110|0.6181818|0.6|0.6666667|0.63157904
111|0.6216216|0.60655737|0.6727273|0.63793105
112|0.6160714|0.5967742|0.6727273|0.6324787
113|0.61946905|0.5967742|0.6727273|0.6324787
114|0.622807|0.6031746|0.6785714|0.6386555
115|0.62608695|0.609375|0.68421054|0.6446281
116|0.62931037|0.61538464|0.6896552|0.65040654
117|0.63247865|0.6212121|0.69491524|0.656
118|0.63559324|0.6212121|0.69491524|0.656
119|0.6386555|0.6212121|0.69491524|0.656
120|0.64166665|0.6268657|0.7|0.6614173
121|0.6363636|0.61764705|0.7|0.65625
122|0.6393443|0.61764705|0.7|0.65625
123|0.6422764|0.6231884|0.704918|0.6615384
124|0.6422764|0.6231884|0.704918|0.6615384
125|0.6451613|0.62857145|0.7096774|0.6666667
126|0.648|0.63380283|0.71428573|0.6716418
127|0.64285713|0.625|0.71428573|0.6666667
128|0.6456693|0.63013697|0.71875|0.67153287
129|0.6484375|0.63013697|0.71875|0.67153287
130|0.64341086|0.6216216|0.71875|0.6666666
131|0.63846153|0.6216216|0.7076923|0.6618705
132|0.64122134|0.62666667|0.7121212|0.6666667
133|0.6363636|0.62666667|0.70149255|0.6619718
134|0.63909775|0.6315789|0.7058824|0.6666667
135|0.63432837|0.6315789|0.6956522|0.6620689
136|0.63703704|0.6363636|0.7|0.6666667
137|0.63235295|0.6363636|0.69014084|0.6621621
138|0.6277372|0.6282051|0.69014084|0.65771806
139|0.6304348|0.6329114|0.6944444|0.66225165
140|0.62589926|0.625|0.6944444|0.65789473
141|0.62857145|0.6296296|0.69863015|0.66233766
142|0.6312057|0.63414633|0.7027027|0.6666667
143|0.62676054|0.63414633|0.6933333|0.6624204
144|0.6293706|0.6385542|0.69736844|0.6666666
145|0.625|0.6385542|0.6883117|0.66249996
146|0.62068963|0.6385542|0.67948717|0.6583851
147|0.6232877|0.6385542|0.67948717|0.6583851
148|0.6258503|0.6385542|0.67948717|0.6583851
149|0.6216216|0.6385542|0.6708861|0.65432096
150|0.62416106|0.6385542|0.6708861|0.65432096
151|0.62|0.6385542|0.6625|0.65030676
152|0.615894|0.6385542|0.654321|0.64634144
153|0.6184211|0.6385542|0.654321|0.64634144
154|0.6143791|0.63095236|0.654321|0.6424242
155|0.6168831|0.63095236|0.654321|0.6424242
156|0.61935484|0.63529414|0.6585366|0.64670664
157|0.6217949|0.63529414|0.6585366|0.64670664
158|0.6178344|0.627907|0.6585366|0.6428572
159|0.62025315|0.6321839|0.6626506|0.6470588
160|0.6226415|0.6363636|0.6666667|0.65116286
161|0.61875|0.6363636|0.65882355|0.6473988
162|0.621118|0.64044946|0.6627907|0.6514286
163|0.61728394|0.6333333|0.6627907|0.6477273
164|0.6196319|0.63736266|0.6666667|0.6516854
165|0.61585367|0.63736266|0.65909094|0.6480447
166|0.6181818|0.6413044|0.66292137|0.6519337
167|0.6204819|0.6413044|0.66292137|0.6519337
168|0.61676645|0.6344086|0.66292137|0.64835167
169|0.61904764|0.63829786|0.6666667|0.65217394
170|0.6213018|0.6421053|0.6703297|0.65591407
171|0.62352943|0.6458333|0.67391306|0.65957445
172|0.61988306|0.63917524|0.67391306|0.65608466
173|0.622093|0.64285713|0.67741936|0.65968585
174|0.6242775|0.64646465|0.68085104|0.6632124
175|0.62643677|0.64646465|0.68085104|0.6632124
176|0.62285715|0.64|0.68085104|0.65979373
177|0.625|0.64|0.68085104|0.65979373
178|0.6214689|0.63366336|0.68085104|0.6564103
179|0.6235955|0.6372549|0.68421054|0.6598984
180|0.6256983|0.6372549|0.68421054|0.6598984
181|0.62222224|0.6372549|0.6770833|0.65656567
182|0.6243094|0.6372549|0.6770833|0.65656567
183|0.62637365|0.6372549|0.6770833|0.65656567
184|0.6284153|0.6372549|0.6770833|0.65656567
185|0.6304348|0.6372549|0.6770833|0.65656567
186|0.63243246|0.6407767|0.68041235|0.66
187|0.6344086|0.6442308|0.68367344|0.6633663
188|0.631016|0.63809526|0.68367344|0.6600985
189|0.63297874|0.6415094|0.68686867|0.66341466
190|0.63492066|0.6415094|0.68686867|0.66341466
191|0.6315789|0.6415094|0.68|0.66019416
192|0.62827224|0.635514|0.68|0.6570048
193|0.625|0.6296296|0.68|0.65384614
194|0.6217617|0.6238532|0.68|0.6507177
195|0.6185567|0.6181818|0.68|0.64761907
196|0.62051284|0.6216216|0.6831683|0.6509434
197|0.61734694|0.6216216|0.6764706|0.64788735
198|0.61421317|0.6216216|0.6699029|0.6448598
199|0.61616164|0.6216216|0.6699029|0.6448598
200|0.6130653|0.6216216|0.66346157|0.6418604
201|0.615|0.6216216|0.66346157|0.6418604
202|0.6119403|0.6216216|0.6571429|0.6388889
203|0.6089109|0.6216216|0.6509434|0.6359447
204|0.61083746|0.6216216|0.6509434|0.6359447
205|0.60784316|0.6160714|0.6509434|0.63302755
206|0.6097561|0.61946905|0.6542056|0.6363636
207|0.61165047|0.61946905|0.6542056|0.6363636
208|0.6086956|0.61946905|0.6481481|0.6334841
209|0.6105769|0.61946905|0.6481481|0.6334841
210|0.6076555|0.61403507|0.6481481|0.6306306
211|0.6047619|0.6086956|0.6481481|0.62780267
212|0.6066351|0.61206895|0.6513761|0.631111
213|0.6037736|0.61206895|0.6454545|0.62831855
214|0.6056338|0.61206895|0.6454545|0.62831855
215|0.60280377|0.61206895|0.6396396|0.6255507
216|0.6|0.61206895|0.6339286|0.622807
217|0.5972222|0.61206895|0.6283186|0.6200874
218|0.59907836|0.61206895|0.6283186|0.6200874
219|0.60091746|0.61538464|0.6315789|0.62337667
220|0.60273975|0.61864406|0.6347826|0.62660944
221|0.6|0.6134454|0.6347826|0.6239316
222|0.5972851|0.6134454|0.62931037|0.6212766
223|0.5990991|0.6166667|0.63247865|0.6244726
224|0.60089684|0.6166667|0.63247865|0.6244726
225|0.59821427|0.61157024|0.63247865|0.62184876
226|0.6|0.61157024|0.63247865|0.62184876
227|0.6017699|0.61157024|0.63247865|0.62184876
228|0.6035242|0.61157024|0.63247865|0.62184876
229|0.60087717|0.60655737|0.63247865|0.61924684
230|0.59825325|0.60162604|0.63247865|0.61666673
231|0.6|0.6048387|0.63559324|0.61983466
232|0.5974026|0.6|0.63559324|0.61728394
233|0.5948276|0.5952381|0.63559324|0.6147541
234|0.5965665|0.5984252|0.6386555|0.6178862
235|0.5965665|0.5984252|0.6386555|0.6178862
236|0.5940171|0.59375|0.6386555|0.61538464
237|0.59574467|0.5968992|0.64166665|0.6184739
238|0.59322035|0.5923077|0.64166665|0.616
239|0.5907173|0.58778626|0.64166665|0.61354584
240|0.5882353|0.5833333|0.64166665|0.61111116
241|0.58577406|0.57894737|0.64166665|0.6086957
242|0.5875|0.58208954|0.6446281|0.61176467
243|0.58506227|0.5777778|0.6446281|0.609375
244|0.58677685|0.5808824|0.647541|0.61240315
245|0.5884774|0.5808824|0.647541|0.61240315
246|0.5860656|0.57664233|0.647541|0.61003864
247|0.5836735|0.57664233|0.6422764|0.6076923
248|0.5813008|0.57664233|0.63709676|0.6053639
249|0.57894737|0.57246375|0.63709676|0.6030534
250|0.58064514|0.5755396|0.64|0.6060606
251|0.58232933|0.57857144|0.64285713|0.6090225
252|0.584|0.58156025|0.6456693|0.6119402
253|0.58565736|0.58156025|0.6456693|0.6119402
254|0.5833333|0.58156025|0.640625|0.60966545
255|0.58498025|0.58156025|0.640625|0.60966545
256|0.5866142|0.58156025|0.640625|0.60966545
257|0.5882353|0.58156025|0.640625|0.60966545
258|0.58984375|0.58156025|0.640625|0.60966545
259|0.5875486|0.58156025|0.6356589|0.60740745
260|0.58914727|0.58156025|0.6356589|0.60740745
261|0.5907336|0.58450705|0.63846153|0.61029416
262|0.5923077|0.58450705|0.63846153|0.61029416
263|0.5900383|0.5804196|0.63846153|0.6080586
264|0.58778626|0.5804196|0.6335878|0.60583943
265|0.5855513|0.5763889|0.6335878|0.6036363
266|0.5833333|0.5763889|0.6287879|0.60144925
267|0.58113205|0.5763889|0.62406015|0.599278
268|0.58270675|0.5763889|0.62406015|0.599278
269|0.58426964|0.5763889|0.62406015|0.599278
270|0.5858209|0.57931036|0.6268657|0.60215056
271|0.5873606|0.57931036|0.6268657|0.60215056
272|0.58518517|0.57931036|0.62222224|0.6
273|0.5867159|0.57931036|0.62222224|0.6
274|0.5882353|0.58219177|0.625|0.6028369
275|0.5897436|0.58219177|0.625|0.6028369
276|0.58759123|0.5782313|0.625|0.6007067
277|0.5890909|0.5810811|0.6277372|0.6035088
278|0.5869565|0.5771812|0.6277372|0.60139865
279|0.58844763|0.58|0.6304348|0.6041667
280|0.58992803|0.58278143|0.63309354|0.6068966
281|0.5913978|0.5855263|0.6357143|0.60958904
282|0.5928571|0.5882353|0.63829786|0.6122449
283|0.59430605|0.59090906|0.64084506|0.6148649
284|0.59574467|0.59354836|0.6433566|0.61744964
285|0.59363955|0.59354836|0.6388889|0.6153846
286|0.5950704|0.59354836|0.6388889|0.6153846
287|0.5929825|0.59354836|0.63448274|0.6133333
288|0.59090906|0.59354836|0.63013697|0.6112957
289|0.5923345|0.59354836|0.63013697|0.6112957
290|0.59375|0.59354836|0.63013697|0.6112957
291|0.5951557|0.59354836|0.63013697|0.6112957
292|0.5965517|0.59615386|0.63265306|0.6138613
293|0.59450173|0.59615386|0.6283784|0.61184216
294|0.5958904|0.59615386|0.6283784|0.61184216
295|0.59385663|0.5923567|0.6283784|0.6098361
296|0.5952381|0.5949367|0.6308725|0.6123779
297|0.59322035|0.591195|0.6308725|0.6103896
298|0.5945946|0.591195|0.6308725|0.6103896
299|0.5959596|0.591195|0.6308725|0.6103896
300|0.59395975|0.5875|0.6308725|0.60841423
301|0.5953177|0.5875|0.6308725|0.60841423
302|0.5933333|0.5875|0.62666667|0.60645163
303|0.5913621|0.5875|0.6225166|0.6045016
304|0.5927152|0.59006214|0.625|0.6070288
305|0.5940594|0.5925926|0.627451|0.60952383
306|0.59210527|0.5925926|0.6233766|0.60759497
307|0.59016395|0.5889571|0.6233766|0.6056782
308|0.5882353|0.58536583|0.6233766|0.6037736
309|0.58957654|0.58787876|0.62580645|0.6062499
310|0.59090906|0.5903614|0.6282051|0.6086956
311|0.592233|0.5928144|0.6305733|0.6111111
312|0.59032255|0.5928144|0.62658226|0.60923076
313|0.5916399|0.5952381|0.6289308|0.6116208
314|0.59294873|0.5976331|0.63125|0.6139818
315|0.5910543|0.59411764|0.63125|0.6121212
316|0.5923567|0.5964912|0.6335404|0.61445785
317|0.5904762|0.5964912|0.6296296|0.6126126
318|0.59177214|0.5988372|0.63190186|0.6149254
319|0.59305996|0.60115606|0.63414633|0.6172106
320|0.591195|0.59770113|0.63414633|0.6153846
321|0.5893417|0.5942857|0.63414633|0.6135693
322|0.5875|0.5942857|0.630303|0.6117647
323|0.58878505|0.59659094|0.6325301|0.6140351
324|0.5869565|0.59659094|0.6287425|0.6122449
325|0.5882353|0.59887004|0.63095236|0.6144927
326|0.58950615|0.59887004|0.63095236|0.6144927
327|0.5876923|0.5955056|0.63095236|0.61271673
328|0.5889571|0.5977654|0.6331361|0.61494255
329|0.58715594|0.59444445|0.6331361|0.6131805
330|0.5884146|0.59444445|0.6331361|0.6131805
331|0.58966565|0.5966851|0.63529414|0.61538464
332|0.58787876|0.5966851|0.6315789|0.6136363
333|0.58912385|0.5989011|0.63372093|0.6158192
334|0.5873494|0.59562844|0.63372093|0.61408454
335|0.5873494|0.59562844|0.63372093|0.61408454
336|0.5855856|0.5923913|0.63372093|0.6123595
337|0.5868263|0.5945946|0.63583815|0.61452514
338|0.5850746|0.5913978|0.63583815|0.61281335
339|0.5833333|0.5913978|0.6321839|0.61111104
340|0.5816024|0.5913978|0.62857145|0.6094183
341|0.57988167|0.5882353|0.62857145|0.60773486
342|0.5781711|0.5882353|0.625|0.6060606
343|0.57941175|0.59042555|0.62711865|0.6082192
344|0.58064514|0.5925926|0.6292135|0.61035424
345|0.58187133|0.5947368|0.6312849|0.6124661
346|0.5801749|0.591623|0.6312849|0.6108108
347|0.5801749|0.591623|0.6312849|0.6108108
348|0.57848835|0.5885417|0.6312849|0.6091644
349|0.5768116|0.58549225|0.6312849|0.60752696
350|0.5751445|0.58549225|0.62777776|0.60589814
351|0.57636887|0.58549225|0.62777776|0.60589814
352|0.57758623|0.58762884|0.62983423|0.608
353|0.57758623|0.58762884|0.62983423|0.608
354|0.57593125|0.58762884|0.62637365|0.60638297
355|0.57714283|0.58762884|0.62637365|0.60638297
356|0.57834756|0.58762884|0.62637365|0.60638297
357|0.57670456|0.58762884|0.6229508|0.60477453
358|0.5750708|0.5846154|0.6229508|0.60317457
359|0.57344633|0.5816327|0.6229508|0.6015831
360|0.571831|0.5786802|0.6229508|0.59999996
361|0.5730337|0.5808081|0.625|0.60209423
362|0.5714286|0.5808081|0.6216216|0.60052216
363|0.5698324|0.5808081|0.6182796|0.5989584
364|0.5682451|0.5808081|0.61497325|0.59740263
365|0.5694444|0.5829146|0.61702126|0.5994832
366|0.5706371|0.585|0.61904764|0.6015424
367|0.5690608|0.585|0.6157895|0.59999996
368|0.57024795|0.5870647|0.6178011|0.6020409
