N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.5|0.33333334|1.0|0.5
3|0.6|0.5|1.0|0.6666667
4|0.5|0.4|1.0|0.5714286
5|0.42857143|0.33333334|1.0|0.5
6|0.5|0.42857143|1.0|0.59999996
7|0.44444445|0.42857143|0.75|0.5454545
8|0.4|0.375|0.75|0.5
9|0.36363637|0.33333334|0.75|0.46153843
10|0.33333334|0.3|0.75|0.42857146
11|0.3846154|0.3|0.75|0.42857146
12|0.42857143|0.36363637|0.8|0.5
13|0.46666667|0.41666666|0.8333333|0.5555555
14|0.4375|0.41666666|0.71428573|0.5263158
15|0.47058824|0.41666666|0.71428573|0.5263158
16|0.5|0.41666666|0.71428573|0.5263158
17|0.5263158|0.46153846|0.75|0.5714286
18|0.5|0.42857143|0.75|0.5454545
19|0.47619048|0.4|0.75|0.5217392
20|0.45454547|0.4|0.6666667|0.5
21|0.47826087|0.4|0.6666667|0.5
22|0.5|0.4375|0.7|0.5384615
23|0.48|0.4375|0.6363636|0.5185185
24|0.5|0.47058824|0.6666667|0.55172414
25|0.5185185|0.5|0.6923077|0.58064514
26|0.53571427|0.5|0.6923077|0.58064514
27|0.55172414|0.5|0.6923077|0.58064514
28|0.56666666|0.5|0.6923077|0.58064514
29|0.5483871|0.5|0.64285713|0.5625
30|0.53125|0.47368422|0.64285713|0.5454545
31|0.54545456|0.47368422|0.64285713|0.5454545
32|0.5588235|0.5|0.6666667|0.57142854
33|0.5714286|0.5|0.6666667|0.57142854
34|0.5833333|0.52380955|0.6875|0.5945946
35|0.5945946|0.52380955|0.6875|0.5945946
36|0.6052632|0.52380955|0.6875|0.5945946
37|0.5897436|0.5|0.6875|0.57894737
38|0.575|0.47826087|0.6875|0.56410253
39|0.5609756|0.47826087|0.64705884|0.55
40|0.54761904|0.47826087|0.6111111|0.5365854
41|0.53488374|0.47826087|0.57894737|0.5238095
42|0.54545456|0.47826087|0.57894737|0.5238095
43|0.5555556|0.5|0.6|0.54545456
44|0.54347825|0.48|0.6|0.53333336
