N|Acuraccy|Precision|Recall|F-Measure
1|1.0|1.0|1.0|1.0
2|0.75|0.6666667|1.0|0.8
3|0.8|0.75|1.0|0.85714287
4|0.8333333|0.8|1.0|0.88888896
5|0.85714287|0.8333333|1.0|0.90909094
6|0.75|0.71428573|1.0|0.8333334
7|0.7777778|0.71428573|1.0|0.8333334
8|0.7|0.625|1.0|0.7692308
9|0.6363636|0.5555556|1.0|0.71428573
10|0.6666667|0.6|1.0|0.75
11|0.6923077|0.6|1.0|0.75
12|0.64285713|0.54545456|1.0|0.7058824
13|0.6666667|0.5833333|1.0|0.7368421
14|0.625|0.5833333|0.875|0.7
15|0.64705884|0.5833333|0.875|0.7
16|0.6666667|0.5833333|0.875|0.7
17|0.68421054|0.61538464|0.8888889|0.72727275
18|0.65|0.5714286|0.8888889|0.6956522
19|0.6666667|0.6|0.9|0.72
20|0.6363636|0.6|0.8181818|0.69230765
21|0.65217394|0.6|0.8181818|0.69230765
22|0.6666667|0.625|0.8333333|0.71428573
23|0.68|0.625|0.8333333|0.71428573
24|0.6923077|0.64705884|0.84615386|0.73333335
25|0.7037037|0.6666667|0.85714287|0.75
26|0.71428573|0.6666667|0.85714287|0.75
27|0.7241379|0.6666667|0.85714287|0.75
28|0.73333335|0.6666667|0.85714287|0.75
29|0.7096774|0.6666667|0.8|0.72727275
30|0.6875|0.6315789|0.8|0.7058824
31|0.6666667|0.6315789|0.75|0.68571424
32|0.6764706|0.65|0.7647059|0.7027027
33|0.6857143|0.65|0.7647059|0.7027027
34|0.6666667|0.61904764|0.7647059|0.68421054
35|0.6756757|0.61904764|0.7647059|0.68421054
36|0.68421054|0.61904764|0.7647059|0.68421054
37|0.6666667|0.59090906|0.7647059|0.6666667
38|0.6666667|0.59090906|0.7647059|0.6666667
39|0.65|0.59090906|0.7222222|0.6499999
40|0.6585366|0.59090906|0.7222222|0.6499999
41|0.64285713|0.59090906|0.68421054|0.63414633
42|0.6511628|0.59090906|0.68421054|0.63414633
43|0.65909094|0.6086956|0.7|0.6511628
44|0.6666667|0.625|0.71428573|0.6666667
45|0.67391306|0.64|0.72727275|0.68085104
46|0.65957445|0.61538464|0.72727275|0.6666667
47|0.6666667|0.61538464|0.72727275|0.6666667
48|0.67346936|0.6296296|0.73913044|0.67999995
49|0.68|0.6296296|0.73913044|0.67999995
50|0.6862745|0.6296296|0.73913044|0.67999995
51|0.6923077|0.64285713|0.75|0.6923077
52|0.6792453|0.62068963|0.75|0.6792453
53|0.6851852|0.62068963|0.75|0.6792453
54|0.6909091|0.6333333|0.76|0.6909091
55|0.6785714|0.6333333|0.7307692|0.6785714
56|0.6666667|0.61290324|0.7307692|0.6666666
57|0.6551724|0.59375|0.7307692|0.6551724
58|0.6440678|0.59375|0.7037037|0.6440678
59|0.65|0.6060606|0.71428573|0.6557377
60|0.6393443|0.6060606|0.6896552|0.64516133
61|0.6451613|0.61764705|0.7|0.65625
62|0.6507937|0.61764705|0.7|0.65625
63|0.640625|0.61764705|0.67741936|0.64615387
64|0.63076925|0.6|0.67741936|0.6363637
65|0.63076925|0.6|0.67741936|0.6363637
66|0.6363636|0.6|0.67741936|0.6363637
67|0.6268657|0.5833333|0.67741936|0.6268656
68|0.63235295|0.5945946|0.6875|0.6376812
69|0.6376812|0.6052632|0.6969697|0.64788735
70|0.64285713|0.61538464|0.7058824|0.6575343
71|0.63380283|0.61538464|0.6857143|0.6486487
72|0.6388889|0.61538464|0.6857143|0.6486487
73|0.6438356|0.625|0.6944444|0.65789473
74|0.6486486|0.63414633|0.7027027|0.6666667
75|0.64|0.63414633|0.68421054|0.65822786
76|0.6447368|0.63414633|0.68421054|0.65822786
77|0.6363636|0.63414633|0.6666667|0.65000004
78|0.6282051|0.61904764|0.6666667|0.6419753
79|0.6329114|0.61904764|0.6666667|0.6419753
80|0.625|0.60465115|0.6666667|0.63414633
81|0.61728394|0.60465115|0.65|0.62650603
82|0.6097561|0.59090906|0.65|0.6190476
83|0.60240966|0.5777778|0.65|0.6117647
84|0.5952381|0.5652174|0.65|0.60465115
85|0.5952381|0.5652174|0.65|0.60465115
86|0.6|0.5744681|0.6585366|0.6136364
87|0.59302324|0.5744681|0.64285713|0.60674155
88|0.5862069|0.5625|0.64285713|0.6
89|0.57954544|0.5625|0.627907|0.59340656
90|0.5730337|0.5625|0.6136364|0.58695656
91|0.56666666|0.5625|0.6|0.58064514
92|0.5604396|0.5510204|0.6|0.5744681
93|0.5543478|0.54|0.6|0.56842107
94|0.5591398|0.54|0.6|0.56842107
95|0.5638298|0.54901963|0.6086956|0.57731956
96|0.56842107|0.54901963|0.6086956|0.57731956
97|0.5625|0.53846157|0.6086956|0.5714286
98|0.556701|0.53846157|0.59574467|0.56565654
99|0.56122446|0.5471698|0.6041667|0.57425743
100|0.5555556|0.5471698|0.59183675|0.5686274
101|0.56|0.5555556|0.6|0.57692313
102|0.56435645|0.56363636|0.60784316|0.58490574
103|0.5588235|0.5535714|0.60784316|0.5794392
104|0.5631068|0.5535714|0.60784316|0.5794392
105|0.5576923|0.5535714|0.59615386|0.5740741
