N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.75|0.6666667|1.0|0.8
3|0.8|0.75|1.0|0.85714287
4|0.8333333|0.8|1.0|0.88888896
5|0.71428573|0.6666667|1.0|0.8
6|0.75|0.71428573|1.0|0.8333334
7|0.7777778|0.71428573|1.0|0.8333334
8|0.8|0.75|1.0|0.85714287
9|0.72727275|0.6666667|1.0|0.8
10|0.6666667|0.6|1.0|0.75
11|0.61538464|0.6|0.85714287|0.70588243
12|0.64285713|0.6363636|0.875|0.7368421
13|0.6666667|0.6666667|0.8888889|0.7619048
14|0.625|0.6666667|0.8|0.72727275
15|0.64705884|0.6666667|0.8|0.72727275
16|0.6666667|0.6666667|0.8|0.72727275
17|0.68421054|0.6923077|0.8181818|0.75
18|0.7|0.71428573|0.8333333|0.7692307
19|0.71428573|0.73333335|0.84615386|0.7857143
20|0.6818182|0.73333335|0.78571427|0.7586207
21|0.65217394|0.73333335|0.73333335|0.73333335
22|0.6666667|0.75|0.75|0.75
23|0.68|0.75|0.75|0.75
24|0.6923077|0.7647059|0.7647059|0.7647059
25|0.7037037|0.7777778|0.7777778|0.77777773
26|0.71428573|0.7777778|0.7777778|0.77777773
27|0.7241379|0.7777778|0.7777778|0.77777773
28|0.73333335|0.7777778|0.7777778|0.77777773
29|0.7096774|0.7777778|0.7368421|0.7567568
30|0.6875|0.7368421|0.7368421|0.7368421
31|0.6969697|0.7368421|0.7368421|0.7368421
32|0.7058824|0.75|0.75|0.75
33|0.6857143|0.75|0.71428573|0.7317073
34|0.6944444|0.7619048|0.72727275|0.74418604
35|0.7027027|0.7619048|0.72727275|0.74418604
36|0.7105263|0.7619048|0.72727275|0.74418604
37|0.71794873|0.77272725|0.73913044|0.75555557
38|0.7|0.73913044|0.73913044|0.73913044
39|0.70731705|0.73913044|0.73913044|0.73913044
40|0.71428573|0.73913044|0.73913044|0.73913044
41|0.6976744|0.73913044|0.7083333|0.7234042
42|0.6818182|0.73913044|0.68|0.7083334
43|0.6888889|0.75|0.6923077|0.72
44|0.67391306|0.72|0.6923077|0.7058824
45|0.68085104|0.7307692|0.7037037|0.7169811
46|0.6666667|0.7037037|0.7037037|0.7037037
47|0.67346936|0.7037037|0.7037037|0.7037037
48|0.68|0.71428573|0.71428573|0.7142857
49|0.6862745|0.71428573|0.71428573|0.7142857
50|0.6730769|0.71428573|0.6896552|0.7017544
51|0.6603774|0.6896552|0.6896552|0.6896552
52|0.6666667|0.7|0.7|0.7
53|0.6545454|0.7|0.67741936|0.6885246
54|0.66071427|0.7096774|0.6875|0.69841266
55|0.64912283|0.7096774|0.6666667|0.6875
56|0.63793105|0.6875|0.6666667|0.67692304
57|0.62711865|0.6666667|0.6666667|0.6666667
58|0.6333333|0.6666667|0.6666667|0.6666667
59|0.6393443|0.6764706|0.6764706|0.6764706
60|0.6451613|0.6764706|0.6764706|0.6764706
61|0.6507937|0.6857143|0.6857143|0.6857143
62|0.640625|0.6857143|0.6666667|0.6760564
63|0.63076925|0.6857143|0.6486486|0.6666666
64|0.6363636|0.6944444|0.65789473|0.6756757
65|0.64179105|0.6944444|0.65789473|0.6756757
66|0.64705884|0.6944444|0.65789473|0.6756757
67|0.65217394|0.7027027|0.6666667|0.68421054
68|0.6571429|0.7105263|0.675|0.6923077
69|0.64788735|0.6923077|0.675|0.68354434
70|0.6527778|0.7|0.68292683|0.69135803
71|0.6438356|0.7|0.6666667|0.68292683
72|0.6486486|0.7|0.6666667|0.68292683
73|0.6533333|0.70731705|0.6744186|0.6904762
74|0.65789473|0.71428573|0.6818182|0.69767445
75|0.64935064|0.71428573|0.6666667|0.68965524
76|0.65384614|0.71428573|0.6666667|0.68965524
77|0.6455696|0.71428573|0.65217394|0.68181825
78|0.6375|0.6976744|0.65217394|0.6741573
79|0.6419753|0.6976744|0.65217394|0.6741573
80|0.63414633|0.6818182|0.65217394|0.6666667
81|0.62650603|0.6818182|0.63829786|0.6593406
82|0.61904764|0.6666667|0.63829786|0.65217394
83|0.6117647|0.65217394|0.63829786|0.6451613
84|0.61627907|0.65957445|0.6458333|0.6526315
85|0.62068963|0.6666667|0.6530612|0.6597938
86|0.6136364|0.6530612|0.6530612|0.6530612
87|0.6179775|0.6530612|0.6530612|0.6530612
88|0.6111111|0.64|0.6530612|0.6464646
89|0.6043956|0.64|0.64|0.64
90|0.59782606|0.64|0.627451|0.6336633
91|0.60215056|0.64|0.627451|0.6336633
92|0.59574467|0.627451|0.627451|0.627451
93|0.6|0.63461536|0.63461536|0.63461536
94|0.6041667|0.63461536|0.63461536|0.63461536
95|0.6082474|0.6415094|0.6415094|0.6415094
96|0.6122449|0.6415094|0.6415094|0.6415094
97|0.61616164|0.6481481|0.6481481|0.6481481
98|0.61616164|0.6481481|0.6481481|0.6481481
99|0.62|0.6545454|0.6545454|0.6545454
100|0.6138614|0.6545454|0.64285713|0.6486486
101|0.61764705|0.66071427|0.64912283|0.65486723
102|0.61165047|0.64912283|0.64912283|0.64912283
103|0.61538464|0.6551724|0.6551724|0.6551724
104|0.61904764|0.6551724|0.6551724|0.6551724
105|0.61904764|0.6551724|0.6551724|0.6551724
106|0.6226415|0.6551724|0.6551724|0.6551724
107|0.62616825|0.66101694|0.66101694|0.66101694
108|0.6296296|0.66101694|0.66101694|0.66101694
109|0.6330275|0.66101694|0.66101694|0.66101694
110|0.6272727|0.65|0.66101694|0.6554622
111|0.6216216|0.6393443|0.66101694|0.65000004
112|0.6160714|0.62903225|0.66101694|0.6446281
113|0.61946905|0.62903225|0.66101694|0.6446281
114|0.61403507|0.61904764|0.66101694|0.6393443
115|0.6173913|0.625|0.6666667|0.6451613
116|0.61206895|0.61538464|0.6666667|0.64000005
117|0.60683763|0.6060606|0.6666667|0.63492066
118|0.6101695|0.6060606|0.6666667|0.63492066
119|0.6134454|0.6060606|0.6666667|0.63492066
120|0.6166667|0.6119403|0.6721311|0.640625
121|0.61157024|0.60294116|0.6721311|0.63565886
122|0.6147541|0.60294116|0.6721311|0.63565886
123|0.6097561|0.5942029|0.6721311|0.63076913
124|0.6048387|0.5857143|0.6721311|0.62595415
125|0.6|0.57746476|0.6721311|0.62121207
126|0.6031746|0.5833333|0.67741936|0.6268656
127|0.6062992|0.5890411|0.6825397|0.63235295
128|0.609375|0.5945946|0.6875|0.6376812
129|0.609375|0.5945946|0.6875|0.6376812
130|0.6124031|0.6|0.6923077|0.6428572
131|0.6076923|0.6|0.6818182|0.6382979
132|0.610687|0.6052632|0.6865672|0.6433567
133|0.6060606|0.6052632|0.6764706|0.6388889
134|0.6060606|0.6052632|0.6764706|0.6388889
135|0.60902256|0.6052632|0.6764706|0.6388889
136|0.6119403|0.6103896|0.68115944|0.6438356
137|0.6148148|0.6103896|0.68115944|0.6438356
138|0.6102941|0.6025641|0.68115944|0.6394558
139|0.6131387|0.6075949|0.6857143|0.64429533
140|0.6086956|0.6|0.6857143|0.64
141|0.60431653|0.5925926|0.6857143|0.63576156
142|0.6|0.58536583|0.6857143|0.6315789
143|0.59574467|0.58536583|0.6760563|0.62745094
144|0.59859157|0.5903614|0.6805556|0.63225806
145|0.5944056|0.5903614|0.6712329|0.6282051
146|0.5972222|0.5903614|0.6712329|0.6282051
147|0.6|0.5903614|0.6712329|0.6282051
148|0.5958904|0.5903614|0.6621622|0.6242038
149|0.59183675|0.5903614|0.6533333|0.62025315
150|0.5878378|0.5903614|0.6447368|0.6163522
151|0.58389264|0.5903614|0.6363636|0.61249995
152|0.58|0.5903614|0.6282051|0.6086956
153|0.58278143|0.5903614|0.6282051|0.6086956
154|0.5855263|0.5952381|0.6329114|0.61349696
155|0.5882353|0.5952381|0.6329114|0.61349696
156|0.59090906|0.6|0.6375|0.6181819
157|0.59354836|0.6|0.6375|0.6181819
158|0.5897436|0.59302324|0.6375|0.6144578
159|0.5923567|0.59770113|0.6419753|0.6190475
160|0.5886076|0.59090906|0.6419753|0.6153846
161|0.5849057|0.59090906|0.63414633|0.61176467
162|0.5875|0.5955056|0.6385542|0.61627907
163|0.5838509|0.5888889|0.6385542|0.61271673
164|0.58641976|0.5934066|0.64285713|0.61714286
165|0.5828221|0.5934066|0.63529414|0.6136364
166|0.58536583|0.59782606|0.6395349|0.6179775
167|0.58181816|0.59782606|0.6321839|0.6145251
168|0.58433735|0.60215056|0.6363636|0.61878455
169|0.5808383|0.59574467|0.6363636|0.6153846
170|0.5833333|0.6|0.64044946|0.61956525
171|0.5857988|0.6041667|0.64444447|0.6236559
172|0.5882353|0.6082474|0.64835167|0.62765956
173|0.5906433|0.6122449|0.65217394|0.631579
174|0.5872093|0.6060606|0.65217394|0.6282723
175|0.5895954|0.6060606|0.65217394|0.6282723
176|0.5862069|0.6|0.65217394|0.62500006
177|0.58285713|0.6|0.6451613|0.6217617
178|0.58522725|0.6039604|0.64893615|0.62564105
179|0.5875706|0.60784316|0.6526316|0.6294417
180|0.58426964|0.60784316|0.6458333|0.62626266
181|0.5865922|0.60784316|0.6458333|0.62626266
182|0.5865922|0.60784316|0.6458333|0.62626266
183|0.5888889|0.60784316|0.6458333|0.62626266
184|0.59116024|0.60784316|0.6458333|0.62626266
185|0.5879121|0.60784316|0.63917524|0.6231156
186|0.59016395|0.61165047|0.64285713|0.6268657
187|0.5923913|0.61538464|0.64646465|0.63054186
188|0.5945946|0.61904764|0.65|0.63414633
189|0.5913978|0.6132075|0.65|0.631068
190|0.59358287|0.6132075|0.65|0.631068
191|0.59574467|0.6132075|0.65|0.631068
192|0.5925926|0.60747665|0.65|0.6280194
193|0.58947366|0.6018519|0.65|0.625
194|0.58638746|0.5963303|0.65|0.6220096
195|0.5833333|0.59090906|0.65|0.6190476
196|0.58549225|0.5945946|0.65346533|0.62264144
197|0.58762884|0.5945946|0.65346533|0.62264144
198|0.5846154|0.5945946|0.64705884|0.6197183
199|0.5867347|0.5945946|0.64705884|0.6197183
200|0.5837563|0.5945946|0.6407767|0.6168224
201|0.5858586|0.5945946|0.6407767|0.6168224
202|0.5829146|0.5945946|0.63461536|0.6139535
203|0.58|0.5945946|0.62857145|0.61111116
204|0.58208954|0.5945946|0.62857145|0.61111116
205|0.5792079|0.58928573|0.62857145|0.60829496
206|0.5763547|0.5840708|0.62857145|0.60550463
207|0.57843137|0.5840708|0.62857145|0.60550463
208|0.57560974|0.5840708|0.6226415|0.60273975
209|0.57281554|0.5840708|0.6168224|0.6
210|0.5748792|0.5877193|0.6203704|0.60360366
211|0.57211536|0.5826087|0.6203704|0.60089684
212|0.57416266|0.5862069|0.6238532|0.60444444
213|0.5714286|0.5862069|0.6181818|0.6017699
214|0.57345974|0.5862069|0.6181818|0.6017699
215|0.5707547|0.5862069|0.6126126|0.59911895
216|0.5680751|0.5862069|0.60714287|0.5964912
217|0.57009345|0.5862069|0.60714287|0.5964912
218|0.572093|0.5862069|0.60714287|0.5964912
219|0.5694444|0.5811966|0.60714287|0.59388644
220|0.5714286|0.58474576|0.6106195|0.59740263
221|0.5733945|0.5882353|0.61403507|0.6008584
222|0.5753425|0.5882353|0.61403507|0.6008584
223|0.5772727|0.59166664|0.6173913|0.6042553
224|0.57918555|0.59166664|0.6173913|0.6042553
225|0.5765766|0.58677685|0.6173913|0.60169494
226|0.57847536|0.58677685|0.6173913|0.60169494
227|0.58035713|0.58677685|0.6173913|0.60169494
228|0.58035713|0.58677685|0.6173913|0.60169494
229|0.5777778|0.58196723|0.6173913|0.59915614
230|0.57522124|0.57723576|0.6173913|0.5966386
231|0.5770925|0.58064514|0.62068963|0.59999996
232|0.5745614|0.576|0.62068963|0.59751034
233|0.5720524|0.5714286|0.62068963|0.59504133
234|0.56956524|0.56692916|0.62068963|0.5925926
235|0.5670996|0.5625|0.62068963|0.5901639
236|0.5689655|0.56589144|0.62393165|0.5934959
237|0.57081544|0.5692308|0.62711865|0.5967743
238|0.5726496|0.57251906|0.6302521|0.59999996
239|0.5702128|0.5681818|0.6302521|0.5976096
240|0.5702128|0.5681818|0.6302521|0.5976096
241|0.5677966|0.56390977|0.6302521|0.5952381
242|0.56962025|0.5671642|0.6333333|0.59842515
243|0.5672269|0.56296295|0.6333333|0.59607846
244|0.56485355|0.5588235|0.6333333|0.59375
245|0.56666666|0.5588235|0.6333333|0.59375
246|0.5643154|0.55474454|0.6333333|0.59143966
247|0.5661157|0.55474454|0.6333333|0.59143966
248|0.56790125|0.55474454|0.6333333|0.59143966
249|0.5696721|0.557971|0.6363636|0.59459454
250|0.5714286|0.5611511|0.6393443|0.59770113
251|0.5731707|0.5642857|0.6422764|0.60076046
252|0.5748988|0.5673759|0.6451613|0.6037736
253|0.5766129|0.5673759|0.6451613|0.6037736
254|0.57831323|0.5673759|0.6451613|0.6037736
255|0.58|0.5673759|0.6451613|0.6037736
256|0.5816733|0.5673759|0.6451613|0.6037736
257|0.5833333|0.5673759|0.6451613|0.6037736
258|0.58498025|0.5673759|0.6451613|0.6037736
259|0.5866142|0.5673759|0.6451613|0.6037736
260|0.5882353|0.5673759|0.6451613|0.6037736
261|0.5859375|0.5633803|0.6451613|0.60150373
262|0.5875486|0.5633803|0.6451613|0.60150373
263|0.58914727|0.56643355|0.648|0.60447764
264|0.5868726|0.56643355|0.64285713|0.6022305
265|0.5884615|0.5694444|0.6456693|0.6051661
266|0.5900383|0.5694444|0.6456693|0.6051661
267|0.59160304|0.5694444|0.6456693|0.6051661
268|0.5931559|0.5694444|0.6456693|0.6051661
269|0.594697|0.5694444|0.6456693|0.6051661
270|0.5962264|0.5724138|0.6484375|0.60805863
271|0.59398496|0.5724138|0.64341086|0.60583943
272|0.5917603|0.5724138|0.63846153|0.6036364
273|0.5932836|0.5724138|0.63846153|0.6036364
274|0.5947955|0.5753425|0.64122134|0.6064982
275|0.5962963|0.5753425|0.64122134|0.6064982
276|0.59778595|0.5782313|0.6439394|0.60931903
277|0.5955882|0.5743243|0.6439394|0.60714287
278|0.5970696|0.5771812|0.6466165|0.609929
279|0.5985401|0.58|0.6492537|0.612676
280|0.6|0.58278143|0.65185183|0.6153846
281|0.60144925|0.5855263|0.6544118|0.6180556
282|0.6028881|0.5882353|0.6569343|0.6206897
283|0.60431653|0.59090906|0.6594203|0.6232877
284|0.60573477|0.59354836|0.6618705|0.6258503
285|0.6035714|0.59354836|0.6571429|0.6237289
286|0.6014235|0.59354836|0.6524823|0.6216216
287|0.5992908|0.59354836|0.64788735|0.6195286
288|0.59717315|0.59354836|0.6433566|0.61744964
289|0.59859157|0.59354836|0.6433566|0.61744964
290|0.5964912|0.59354836|0.6388889|0.6153846
291|0.5944056|0.59354836|0.63448274|0.6133333
292|0.5958188|0.59615386|0.6369863|0.615894
293|0.5972222|0.59615386|0.6369863|0.615894
294|0.5951557|0.59615386|0.63265306|0.6138613
295|0.59310347|0.5923567|0.63265306|0.61184216
296|0.59310347|0.5923567|0.63265306|0.61184216
297|0.5910653|0.5886076|0.63265306|0.60983604
298|0.59246576|0.5886076|0.63265306|0.60983604
299|0.59385663|0.5886076|0.63265306|0.60983604
300|0.5952381|0.591195|0.6351351|0.6123779
301|0.5966102|0.591195|0.6351351|0.6123779
302|0.597973|0.591195|0.6351351|0.6123779
303|0.5959596|0.591195|0.6308725|0.6103896
304|0.59395975|0.5875|0.6308725|0.60841423
305|0.5953177|0.59006214|0.6333333|0.61093247
306|0.5933333|0.59006214|0.62913907|0.60897434
307|0.59468436|0.5925926|0.6315789|0.611465
308|0.5960265|0.595092|0.63398695|0.613924
309|0.5940594|0.5914634|0.63398695|0.6119874
310|0.59210527|0.58787876|0.63398695|0.6100629
311|0.5934426|0.5903614|0.6363636|0.61249995
312|0.59150326|0.5903614|0.63225806|0.6105918
313|0.5928339|0.5928144|0.63461536|0.6130031
314|0.59090906|0.58928573|0.63461536|0.6111111
315|0.58899677|0.5857988|0.63461536|0.60923076
316|0.58709675|0.58235294|0.63461536|0.6073619
317|0.58709675|0.58235294|0.63461536|0.6073619
318|0.58842444|0.5847953|0.6369427|0.60975605
319|0.5897436|0.5872093|0.6392405|0.6121212
320|0.5910543|0.5895954|0.6415094|0.6144578
321|0.5923567|0.59195405|0.64375|0.6167665
322|0.5936508|0.59195405|0.64375|0.6167665
323|0.59177214|0.5885714|0.64375|0.6149254
324|0.5899054|0.5885714|0.63975155|0.6130953
325|0.5880503|0.58522725|0.63975155|0.611276
326|0.5893417|0.58522725|0.63975155|0.611276
327|0.590625|0.5875706|0.6419753|0.6135694
328|0.58878505|0.58426964|0.6419753|0.61176467
329|0.5869565|0.5810056|0.6419753|0.6099706
330|0.5882353|0.5810056|0.6419753|0.6099706
331|0.58950615|0.5833333|0.6441718|0.61224484
332|0.5876923|0.5833333|0.6402439|0.61046505
333|0.5889571|0.58563536|0.6424242|0.6127168
334|0.5902141|0.5879121|0.64457834|0.61494255
335|0.5914634|0.59016395|0.6467066|0.61714286
336|0.5927052|0.5923913|0.64880955|0.6193182
337|0.5939394|0.5945946|0.65088755|0.62146884
338|0.59516615|0.5967742|0.65294117|0.62359554
339|0.59638554|0.5967742|0.65294117|0.62359554
340|0.5975976|0.5967742|0.65294117|0.62359554
341|0.5988024|0.5989305|0.65497077|0.6256983
342|0.6|0.5989305|0.65497077|0.6256983
343|0.59821427|0.59574467|0.65497077|0.62395537
344|0.5964392|0.5925926|0.65497077|0.6222222
345|0.5976331|0.5947368|0.65697676|0.6243094
346|0.59882003|0.5968586|0.6589595|0.6263736
347|0.6|0.5989583|0.66091955|0.6284153
348|0.5982405|0.59585494|0.66091955|0.626703
349|0.5964912|0.5927835|0.66091955|0.625
350|0.5947522|0.5927835|0.6571429|0.6233063
351|0.5959302|0.5927835|0.6571429|0.6233063
352|0.59710145|0.5948718|0.65909094|0.62533695
353|0.5982659|0.5969388|0.66101694|0.6273458
354|0.59654176|0.5969388|0.6573034|0.62566847
355|0.59770113|0.5969388|0.6573034|0.62566847
356|0.5988539|0.5969388|0.6573034|0.62566847
357|0.6|0.5969388|0.6573034|0.62566847
358|0.6011396|0.5989848|0.6592179|0.6276596
359|0.5994318|0.5959596|0.6592179|0.6259947
360|0.60056657|0.59799|0.6611111|0.6279683
361|0.59887004|0.595|0.6611111|0.6263158
362|0.6|0.595|0.6611111|0.6263158
363|0.5983146|0.595|0.65745854|0.62467194
364|0.5966387|0.595|0.65384614|0.6230367
365|0.5977654|0.5970149|0.6557377|0.625
366|0.5988858|0.5990099|0.6576087|0.62694305
367|0.6|0.5990099|0.6576087|0.62694305
