N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.75|0.6666667|1.0|0.8
3|0.8|0.75|1.0|0.85714287
4|0.8333333|0.8|1.0|0.88888896
5|0.71428573|0.6666667|1.0|0.8
6|0.625|0.5714286|1.0|0.72727275
7|0.5555556|0.5714286|0.8|0.6666667
8|0.5|0.5|0.8|0.61538464
9|0.54545456|0.5555556|0.8333333|0.66666675
10|0.5|0.5|0.8333333|0.625
11|0.53846157|0.5|0.8333333|0.625
12|0.5|0.45454547|0.8333333|0.5882353
13|0.53333336|0.5|0.85714287|0.6315789
14|0.5|0.5|0.75|0.6
15|0.5294118|0.5|0.75|0.6
16|0.5555556|0.5|0.75|0.6
17|0.57894737|0.53846157|0.7777778|0.6363637
18|0.55|0.5|0.7777778|0.6086957
19|0.5714286|0.53333336|0.8|0.64000005
20|0.54545456|0.53333336|0.72727275|0.61538464
21|0.5652174|0.53333336|0.72727275|0.61538464
22|0.5833333|0.5625|0.75|0.64285713
23|0.6|0.5625|0.75|0.64285713
24|0.61538464|0.5882353|0.7692308|0.6666667
25|0.5925926|0.5555556|0.7692308|0.6451613
26|0.60714287|0.5555556|0.7692308|0.6451613
27|0.62068963|0.5555556|0.7692308|0.6451613
28|0.6333333|0.5555556|0.7692308|0.6451613
29|0.61290324|0.5555556|0.71428573|0.62500006
30|0.59375|0.5263158|0.71428573|0.6060606
31|0.6060606|0.5263158|0.71428573|0.6060606
32|0.5882353|0.5|0.71428573|0.5882353
33|0.6|0.5|0.71428573|0.5882353
34|0.6111111|0.52380955|0.73333335|0.61111116
35|0.6216216|0.52380955|0.73333335|0.61111116
36|0.6315789|0.52380955|0.73333335|0.61111116
37|0.61538464|0.5|0.73333335|0.5945946
38|0.625|0.5217391|0.75|0.61538464
39|0.63414633|0.5217391|0.75|0.61538464
40|0.64285713|0.5217391|0.75|0.61538464
41|0.627907|0.5217391|0.7058824|0.59999996
42|0.6363636|0.5217391|0.7058824|0.59999996
43|0.64444447|0.5416667|0.7222222|0.61904764
44|0.6304348|0.52|0.7222222|0.60465115
45|0.61702126|0.5|0.7222222|0.59090906
46|0.625|0.5185185|0.7368421|0.6086956
47|0.625|0.5185185|0.7368421|0.6086956
48|0.63265306|0.53571427|0.75|0.625
49|0.64|0.53571427|0.75|0.625
50|0.627451|0.53571427|0.71428573|0.6122449
51|0.63461536|0.55172414|0.72727275|0.627451
52|0.6415094|0.56666666|0.73913044|0.6415095
53|0.6481481|0.56666666|0.73913044|0.6415095
54|0.6545454|0.58064514|0.75|0.6545455
55|0.64285713|0.58064514|0.72|0.6428572
56|0.6315789|0.5625|0.72|0.631579
57|0.63793105|0.57575756|0.7307692|0.64406776
58|0.6440678|0.57575756|0.7307692|0.64406776
59|0.65|0.5882353|0.7407407|0.6557377
60|0.6557377|0.5882353|0.7407407|0.6557377
61|0.66129035|0.6|0.75|0.6666667
62|0.6666667|0.6|0.75|0.6666667
63|0.65625|0.6|0.7241379|0.65625
64|0.6615385|0.6111111|0.73333335|0.6666666
65|0.6666667|0.6111111|0.73333335|0.6666666
66|0.67164177|0.6111111|0.73333335|0.6666666
67|0.6617647|0.5945946|0.73333335|0.6567164
68|0.6666667|0.6052632|0.7419355|0.6666666
69|0.6571429|0.5897436|0.7419355|0.6571429
70|0.6619718|0.6|0.75|0.6666667
71|0.6527778|0.6|0.72727275|0.65753424
72|0.65753424|0.6|0.72727275|0.65753424
73|0.6621622|0.6097561|0.7352941|0.6666667
74|0.6666667|0.61904764|0.74285716|0.6753247
75|0.65789473|0.61904764|0.7222222|0.6666667
76|0.64935064|0.61904764|0.7027027|0.6582278
77|0.65384614|0.61904764|0.7027027|0.6582278
78|0.65822786|0.627907|0.7105263|0.6666666
79|0.6625|0.627907|0.7105263|0.6666666
80|0.654321|0.6136364|0.7105263|0.65853655
81|0.6585366|0.6136364|0.7105263|0.65853655
82|0.6506024|0.6|0.7105263|0.6506024
83|0.64285713|0.5869565|0.7105263|0.6428572
84|0.64705884|0.59574467|0.71794873|0.6511628
85|0.6511628|0.6041667|0.725|0.65909094
86|0.6551724|0.6122449|0.73170733|0.66666675
87|0.64772725|0.6122449|0.71428573|0.6593406
88|0.64044946|0.6|0.71428573|0.65217394
89|0.6333333|0.6|0.6976744|0.6451613
90|0.63736266|0.6|0.6976744|0.6451613
91|0.63736266|0.6|0.6976744|0.6451613
92|0.6413044|0.60784316|0.70454544|0.6526315
93|0.6451613|0.61538464|0.7111111|0.65979385
94|0.64893615|0.61538464|0.7111111|0.65979385
95|0.6526316|0.6226415|0.7173913|0.6666666
96|0.65625|0.6226415|0.7173913|0.6666666
97|0.6597938|0.6296296|0.7234042|0.67326736
98|0.6530612|0.6296296|0.7083333|0.6666667
99|0.65656567|0.6363636|0.71428573|0.6730769
100|0.66|0.6363636|0.71428573|0.6730769
101|0.6633663|0.64285713|0.72|0.67924535
102|0.65686274|0.6315789|0.72|0.67289716
103|0.66019416|0.63793105|0.7254902|0.6788991
104|0.66346157|0.63793105|0.7254902|0.6788991
105|0.6571429|0.63793105|0.71153843|0.6727273
106|0.6509434|0.63793105|0.6981132|0.6666666
107|0.6542056|0.6440678|0.7037037|0.6725664
108|0.6574074|0.6440678|0.7037037|0.6725664
109|0.6513761|0.6440678|0.6909091|0.6666667
110|0.6545454|0.65|0.6964286|0.67241377
111|0.6576577|0.6557377|0.7017544|0.6779661
112|0.66071427|0.66129035|0.70689654|0.6833333
113|0.6637168|0.66129035|0.70689654|0.6833333
114|0.65789473|0.6507937|0.70689654|0.6776859
115|0.65217394|0.640625|0.70689654|0.6721311
116|0.6465517|0.63076925|0.70689654|0.6666667
117|0.6495727|0.6363636|0.7118644|0.67200005
118|0.65254235|0.6363636|0.7118644|0.67200005
119|0.6554622|0.6363636|0.7118644|0.67200005
120|0.65|0.6268657|0.7118644|0.6666667
121|0.6528926|0.63235295|0.71666664|0.67187506
122|0.6557377|0.63235295|0.71666664|0.67187506
123|0.6585366|0.6376812|0.72131145|0.6769231
124|0.6585366|0.6376812|0.72131145|0.6769231
125|0.66129035|0.64285713|0.7258065|0.6818182
126|0.664|0.64788735|0.73015875|0.6865672
127|0.65873015|0.6388889|0.73015875|0.68148154
128|0.6614173|0.6438356|0.734375|0.6861314
129|0.6640625|0.6438356|0.734375|0.6861314
130|0.6640625|0.6438356|0.734375|0.6861314
131|0.65891474|0.6438356|0.72307694|0.6811594
132|0.6615385|0.6486486|0.72727275|0.6857143
133|0.65648854|0.6486486|0.7164179|0.68085104
134|0.65909094|0.6533333|0.7205882|0.68531466
135|0.65413535|0.6533333|0.71014494|0.6805556
136|0.6567164|0.65789473|0.71428573|0.6849315
137|0.65925926|0.65789473|0.71428573|0.6849315
138|0.6544118|0.64935064|0.71428573|0.6802721
139|0.649635|0.64102566|0.71428573|0.6756757
140|0.64492756|0.6329114|0.71428573|0.67114097
141|0.64748204|0.6375|0.7183099|0.6754967
142|0.65|0.6419753|0.7222222|0.6797385
143|0.6453901|0.6419753|0.7123288|0.6753247
144|0.64788735|0.64634144|0.7162162|0.67948717
145|0.6433566|0.64634144|0.70666665|0.6751593
146|0.6388889|0.64634144|0.69736844|0.67088604
147|0.6413793|0.64634144|0.69736844|0.67088604
148|0.6369863|0.64634144|0.6883117|0.6666667
149|0.63265306|0.64634144|0.67948717|0.6625
150|0.6283784|0.64634144|0.6708861|0.6583851
151|0.62416106|0.64634144|0.6625|0.654321
152|0.62666667|0.64634144|0.6625|0.654321
153|0.62913907|0.64634144|0.6625|0.654321
154|0.6315789|0.6506024|0.6666667|0.6585366
155|0.63398695|0.6506024|0.6666667|0.6585366
156|0.6363636|0.6547619|0.6707317|0.66265064
157|0.63870966|0.6547619|0.6707317|0.66265064
158|0.63461536|0.64705884|0.6707317|0.6586827
159|0.6369427|0.6511628|0.67469877|0.6627219
160|0.6392405|0.6551724|0.6785714|0.6666667
161|0.6352201|0.6551724|0.67058825|0.6627908
162|0.63125|0.64772725|0.67058825|0.65895957
163|0.6335404|0.6516854|0.6744186|0.6628572
164|0.63580245|0.65555555|0.6781609|0.6666667
165|0.63190186|0.65555555|0.67045456|0.66292137
166|0.63414633|0.6593407|0.6741573|0.6666667
167|0.630303|0.6593407|0.6666667|0.6629835
168|0.6325301|0.6630435|0.6703297|0.6666667
169|0.6347305|0.6666667|0.67391306|0.67027026
170|0.6369048|0.67021275|0.67741936|0.6737968
171|0.6331361|0.6631579|0.67741936|0.67021275
172|0.63529414|0.6666667|0.68085104|0.6736842
173|0.6374269|0.6701031|0.68421054|0.6770833
174|0.63372093|0.6632653|0.68421054|0.67357516
175|0.63583815|0.6632653|0.68421054|0.67357516
176|0.6321839|0.65656567|0.68421054|0.67010313
177|0.62857145|0.65656567|0.6770833|0.6666667
178|0.6306818|0.66|0.68041235|0.6700508
179|0.63276833|0.6633663|0.68367344|0.67336684
180|0.6292135|0.6633663|0.67676765|0.67
181|0.6312849|0.6633663|0.67676765|0.67
182|0.62777776|0.6633663|0.67|0.6666666
183|0.62983423|0.6633663|0.67|0.6666666
184|0.62637365|0.6633663|0.6633663|0.6633663
185|0.6284153|0.6633663|0.6633663|0.6633663
186|0.6304348|0.6666667|0.6666667|0.6666667
187|0.62702703|0.66019416|0.6666667|0.6634146
188|0.62903225|0.66346157|0.6699029|0.6666667
189|0.62566847|0.6571429|0.6699029|0.66346157
190|0.62765956|0.6571429|0.6699029|0.66346157
191|0.6243386|0.6571429|0.66346157|0.66028714
192|0.6210526|0.6509434|0.66346157|0.6571429
193|0.6178011|0.6448598|0.66346157|0.6540285
194|0.6145833|0.6388889|0.66346157|0.6509434
195|0.61139894|0.6330275|0.66346157|0.64788735
196|0.61139894|0.6330275|0.66346157|0.64788735
197|0.6082474|0.6330275|0.6571429|0.6448598
198|0.61025643|0.6330275|0.6571429|0.6448598
199|0.60714287|0.6330275|0.6509434|0.6418605
200|0.6040609|0.6330275|0.6448598|0.63888884
201|0.6010101|0.6330275|0.6388889|0.63594466
202|0.60301507|0.6330275|0.6388889|0.63594466
203|0.605|0.6330275|0.6388889|0.63594466
204|0.6069652|0.6330275|0.6388889|0.63594466
205|0.6089109|0.6363636|0.64220184|0.6392694
206|0.61083746|0.6396396|0.6454545|0.6425339
207|0.6127451|0.6396396|0.6454545|0.6425339
208|0.61463416|0.6396396|0.6454545|0.6425339
209|0.61165047|0.6396396|0.6396396|0.6396396
210|0.6135266|0.64285713|0.64285713|0.64285713
211|0.6105769|0.63716817|0.64285713|0.64000005
212|0.61244017|0.6403509|0.6460177|0.6431718
213|0.6142857|0.6403509|0.6460177|0.6431718
214|0.6161137|0.6403509|0.6460177|0.6431718
215|0.6132075|0.6403509|0.6403509|0.6403509
216|0.6150235|0.6403509|0.6403509|0.6403509
217|0.6168224|0.6403509|0.6403509|0.6403509
218|0.61860466|0.6403509|0.6403509|0.6403509
219|0.6157407|0.6347826|0.6403509|0.6375546
220|0.6175115|0.63793105|0.6434783|0.6406927
221|0.6146789|0.63247865|0.6434783|0.63793105
222|0.61187214|0.63247865|0.63793105|0.6351931
223|0.6136364|0.63559324|0.64102566|0.63829786
224|0.61085975|0.63559324|0.63559324|0.63559324
225|0.6081081|0.6302521|0.63559324|0.63291144
226|0.6098655|0.6302521|0.63559324|0.63291144
227|0.61160713|0.6302521|0.63559324|0.63291144
228|0.60888886|0.6302521|0.6302521|0.6302521
229|0.6106195|0.6333333|0.6333333|0.6333333
230|0.6079295|0.6280992|0.6333333|0.6307054
231|0.6052632|0.6229508|0.6333333|0.6280992
232|0.60262007|0.6178862|0.6333333|0.6255144
233|0.6043478|0.62096775|0.6363636|0.62857145
234|0.6060606|0.624|0.6393443|0.631579
235|0.6034483|0.61904764|0.6393443|0.6290323
236|0.6008584|0.61417323|0.6393443|0.62650603
237|0.6025641|0.6171875|0.6422764|0.6294821
238|0.6|0.6124031|0.6422764|0.6269842
239|0.59745765|0.6076923|0.6422764|0.6245059
240|0.59915614|0.610687|0.6451613|0.627451
241|0.60084033|0.6136364|0.648|0.63035023
242|0.60251045|0.6165413|0.6507937|0.63320464
243|0.6|0.6119403|0.6507937|0.63076925
244|0.5975104|0.6074074|0.6507937|0.62835246
245|0.59917355|0.6074074|0.6507937|0.62835246
246|0.60082304|0.6102941|0.6535433|0.63117874
247|0.59836066|0.6102941|0.6484375|0.6287879
248|0.59591836|0.6102941|0.64341086|0.6264151
249|0.597561|0.6131387|0.64615387|0.62921345
250|0.5951417|0.6086956|0.64615387|0.6268657
251|0.5967742|0.6115108|0.648855|0.6296297
252|0.59839356|0.6142857|0.6515151|0.63235295
253|0.6|0.6142857|0.6515151|0.63235295
254|0.6015936|0.6142857|0.6515151|0.63235295
255|0.6031746|0.6142857|0.6515151|0.63235295
256|0.60474306|0.6142857|0.6515151|0.63235295
257|0.6023622|0.6142857|0.6466165|0.63003665
258|0.6039216|0.6142857|0.6466165|0.63003665
259|0.6015625|0.6142857|0.64179105|0.62773716
260|0.59922177|0.6142857|0.63703704|0.62545455
261|0.5968992|0.6099291|0.63703704|0.62318844
262|0.5984556|0.6099291|0.63703704|0.62318844
263|0.6|0.6126761|0.6397059|0.6258993
264|0.6|0.6126761|0.6397059|0.6258993
265|0.59770113|0.6083916|0.6397059|0.6236559
266|0.5954198|0.6083916|0.63503647|0.62142855
267|0.59695816|0.6083916|0.63503647|0.62142855
268|0.5984849|0.6083916|0.63503647|0.62142855
269|0.6|0.6083916|0.63503647|0.62142855
270|0.59774435|0.6041667|0.63503647|0.61921704
271|0.5992509|0.6041667|0.63503647|0.61921704
272|0.5970149|0.6041667|0.6304348|0.6170213
273|0.598513|0.6041667|0.6304348|0.6170213
274|0.5962963|0.6|0.6304348|0.614841
275|0.59409595|0.6|0.62589926|0.6126761
276|0.5919118|0.5958904|0.62589926|0.6105263
277|0.5934066|0.5986394|0.62857145|0.6132404
278|0.59489053|0.6013514|0.6312057|0.61591697
279|0.59636366|0.60402685|0.63380283|0.61855674
280|0.59782606|0.6066667|0.6363636|0.62116045
281|0.599278|0.6092715|0.6388889|0.6237288
282|0.60071945|0.6118421|0.6413793|0.6262626
283|0.60215056|0.6143791|0.6438356|0.62876254
284|0.6|0.6103896|0.6438356|0.6266666
285|0.59786475|0.6103896|0.6394558|0.62458473
286|0.5992908|0.6103896|0.6394558|0.62458473
287|0.59717315|0.6103896|0.6351351|0.6225166
288|0.59859157|0.6103896|0.6351351|0.6225166
289|0.5964912|0.6103896|0.6308725|0.62046206
290|0.5979021|0.6103896|0.6308725|0.62046206
291|0.5993031|0.6103896|0.6308725|0.62046206
292|0.6006944|0.61290324|0.6333333|0.62295085
293|0.6020761|0.61290324|0.6333333|0.62295085
294|0.6034483|0.61290324|0.6333333|0.62295085
295|0.60137457|0.60897434|0.6333333|0.620915
296|0.60273975|0.611465|0.6357616|0.62337667
297|0.6006826|0.6075949|0.6357616|0.6213592
298|0.5986394|0.6075949|0.6315789|0.6193548
299|0.6|0.6075949|0.6315789|0.6193548
300|0.597973|0.6037736|0.6315789|0.61736333
301|0.5959596|0.6037736|0.627451|0.6153847
302|0.59731543|0.6037736|0.627451|0.6153847
303|0.5953177|0.6037736|0.6233766|0.6134185
304|0.5966667|0.60625|0.62580645|0.61587304
305|0.59800667|0.6086956|0.6282051|0.61829644
306|0.59933776|0.6086956|0.6282051|0.61829644
307|0.5973597|0.60493827|0.6282051|0.61635226
308|0.59539473|0.601227|0.6282051|0.61442006
309|0.5934426|0.597561|0.6282051|0.6125
310|0.59477127|0.6|0.6305733|0.61490685
311|0.5960912|0.60240966|0.6329114|0.61728394
312|0.59415585|0.60240966|0.6289308|0.61538464
313|0.59546924|0.6047904|0.63125|0.61773705
314|0.5967742|0.60714287|0.6335404|0.62006074
315|0.5948553|0.6035503|0.6335404|0.6181818
316|0.59615386|0.60588235|0.63580245|0.6204819
317|0.5942492|0.60588235|0.63190186|0.61861867
318|0.5955414|0.60818714|0.63414633|0.6208955
319|0.5968254|0.6104651|0.6363636|0.6231454
320|0.5949367|0.6069364|0.6363636|0.62130183
321|0.59621453|0.6091954|0.6385542|0.62352943
322|0.5943396|0.6091954|0.6347305|0.6217009
323|0.5956113|0.61142856|0.6369048|0.6239067
324|0.596875|0.61142856|0.6369048|0.6239067
325|0.5981308|0.6136364|0.6390532|0.62608695
326|0.5993789|0.6136364|0.6390532|0.62608695
327|0.6006192|0.6158192|0.64117646|0.6282421
328|0.59876543|0.6123595|0.64117646|0.62643677
329|0.6|0.61452514|0.64327484|0.6285714
330|0.5981595|0.61452514|0.6395349|0.6267806
331|0.5963303|0.6111111|0.6395349|0.625
332|0.597561|0.6111111|0.6395349|0.625
333|0.5987842|0.6132597|0.6416185|0.62711865
334|0.6|0.61538464|0.6436782|0.6292135
335|0.60120845|0.61748636|0.6457143|0.6312849
336|0.5993976|0.61413044|0.6457143|0.62952644
337|0.5975976|0.6108108|0.6457143|0.6277778
338|0.5958084|0.6075269|0.6457143|0.6260388
339|0.59402984|0.6075269|0.64204544|0.6243094
340|0.5922619|0.6075269|0.6384181|0.6225895
341|0.5934718|0.6096257|0.64044946|0.6246576
342|0.5946745|0.6096257|0.64044946|0.6246576
343|0.5958702|0.61170214|0.6424581|0.626703
344|0.59705883|0.6137566|0.64444447|0.62872624
345|0.5982405|0.6157895|0.64640886|0.63072777
346|0.5964912|0.61256546|0.64640886|0.62903225
347|0.59766763|0.6145833|0.64835167|0.6310161
348|0.5959302|0.61139894|0.64835167|0.6293333
349|0.5942029|0.6082474|0.64835167|0.62765956
350|0.59248555|0.6082474|0.64480877|0.62599474
351|0.59365994|0.6082474|0.64480877|0.62599474
352|0.5948276|0.61025643|0.6467391|0.6279684
353|0.5931232|0.60714287|0.6467391|0.6263158
354|0.5914286|0.60714287|0.64324325|0.62467194
355|0.5897436|0.60714287|0.63978493|0.6230367
356|0.59090906|0.60714287|0.63978493|0.6230367
357|0.5892351|0.60714287|0.6363636|0.62140995
358|0.59039545|0.60913706|0.63829786|0.62337667
359|0.5915493|0.6111111|0.64021164|0.625323
360|0.5898876|0.6080402|0.64021164|0.6237113
361|0.5898876|0.6080402|0.64021164|0.6237113
362|0.5882353|0.6080402|0.63684213|0.622108
363|0.5865922|0.6080402|0.63350785|0.6205128
364|0.58774376|0.6080402|0.63350785|0.6205128
365|0.5888889|0.61|0.6354167|0.622449
366|0.5872576|0.6069652|0.6354167|0.6208652
367|0.5883978|0.6069652|0.6354167|0.6208652
