 "ruminant" ,
 "man" ,
 "homo" ,
 "human being" ,
 "human" ,
 "Zen" ,
 "aircraft" ,
 "airplane" ,
 "plane" ,
 "aeroplane" ,
 "antiquity" ,
 "boat" ,
 "charabanc" ,
 "jitney" ,
 "motorcoach" ,
 "coach" ,
 "bus" ,
 "passenger vehicle" ,
 "motorbus" ,
 "autobus" ,
 "double-decker" ,
 "omnibus" ,
 "car" ,
 "motorcar" ,
 "automobile" ,
 "auto" ,
 "machine" ,
 "cinema" ,
 "information processing system" ,
 "data processor" ,
 "electronic computer" ,
 "computing machine" ,
 "computer" ,
 "computing device" ,
 "computer graphics" ,
 "drug" ,
 "manufacturing plant" ,
 "manufactory" ,
 "factory" ,
 "film" ,
 "piece of furniture" ,
 "furniture" ,
 "article of furniture" ,
 "train" ,
 "genre" ,
 "heraldry" ,
 "jet engine" ,
 "voodoo" ,
 "knitwork" ,
 "knit" ,
 "medicinal drug" ,
 "medicament" ,
 "motor vehicle" ,
 "automotive vehicle" ,
 "narcotic" ,
 "picture" ,
 "pic" ,
 "industrial plant" ,
 "radio" ,
 "wireless" ,
 "sailing ship" ,
 "sailing vessel" ,
 "stitchery" ,
 "ship" ,
 "stock market" ,
 "securities market" ,
 "stock exchange" ,
 "telegraphy" ,
 "telephone" ,
 "television" ,
 "theater" ,
 "theatre" ,
 "railroad train" ,
 "university" ,
 "watercraft" ,
 "vessel" ,
 "video" ,
 "spiritualism" ,
 "drama" ,
 "humour" ,
 "humor" ,
 "diplomacy" ,
 "divinity" ,
 "maternity" ,
 "optics" ,
 "navy" ,
 "physiology" ,
 "muscle" ,
 "relativity" ,
 "muscular tissue" ,
 "corporation" ,
 "logic" ,
 "wit" ,
 "vision" ,
 "falconry" ,
 "science" ,
 "speech" ,
 "language" ,
 "visual modality" ,
 "visual sense" ,
 "auditory modality" ,
 "auditory sense" ,
 "sense of hearing" ,
 "system of logic" ,
 "logical system" ,
 "computer simulation" ,
 "concern" ,
 "euphony" ,
 "gestation" ,
 "star divination" ,
 "astrology" ,
 "alchemy" ,
 "precedent" ,
 "classical architecture" ,
 "Greco-Roman architecture" ,
 "meat" ,
 "philosophy" ,
 "religious belief" ,
 "religion" ,
 "existentialism" ,
 "existential philosophy" ,
 "existentialist philosophy" ,
 "Scholasticism" ,
 "Taoism" ,
 "Daoism" ,
 "folklore" ,
 "communication theory" ,
 "communications" ,
 "scientific discipline" ,
 "maths" ,
 "math" ,
 "mathematics" ,
 "arithmetic" ,
 "geometry" ,
 "algebra" ,
 "matrix algebra" ,
 "statistics" ,
 "biological science" ,
 "biology" ,
 "medical specialty" ,
 "bacteriology" ,
 "dental medicine" ,
 "odontology" ,
 "dentistry" ,
 "endocrinology" ,
 "epidemiology" ,
 "immunology" ,
 "neurology" ,
 "OB" ,
 "obstetrics" ,
 "tocology" ,
 "ophthalmology" ,
 "otology" ,
 "pharmacological medicine" ,
 "pharmacology" ,
 "materia medica" ,
 "psychiatry" ,
 "psychological medicine" ,
 "psychopathology" ,
 "general anatomy" ,
 "pathology" ,
 "orthopaedics" ,
 "orthopedics" ,
 "toxicology" ,
 "veterinary medicine" ,
 "virology" ,
 "phytology" ,
 "botany" ,
 "cytology" ,
 "environmental science" ,
 "ecology" ,
 "bionomics" ,
 "embryology" ,
 "forestry" ,
 "bugology" ,
 "entomology" ,
 "ichthyology" ,
 "ornithology" ,
 "paleontology" ,
 "fossilology" ,
 "palaeontology" ,
 "genetics" ,
 "genetic science" ,
 "histology" ,
 "microbiology" ,
 "molecular biology" ,
 "biochemistry" ,
 "neurophysiology" ,
 "neuroscience" ,
 "zoological science" ,
 "zoology" ,
 "chemistry" ,
