 "nameObj" , "predicate" , "nameDom" ,
 "retreat" , "domain_category" , "military" ,
 "retreat" , "domain_category" , "war machine" ,
 "retreat" , "domain_category" , "armed forces" ,
 "retreat" , "domain_category" , "armed services" ,
 "retreat" , "domain_category" , "military machine" ,
 "retreat" , "domain_category" , "military" ,
 "retreat" , "domain_category" , "war machine" ,
 "retreat" , "domain_category" , "armed forces" ,
 "retreat" , "domain_category" , "armed services" ,
 "retreat" , "domain_category" , "military machine" ,
 "retreat" , "domain_category" , "military" ,
 "retreat" , "domain_category" , "war machine" ,
 "unauthorized absence" , "domain_category" , "armed forces" ,
 "unauthorized absence" , "domain_category" , "armed services" ,
 "unauthorized absence" , "domain_category" , "military machine" ,
 "unauthorized absence" , "domain_category" , "military" ,
 "unauthorized absence" , "domain_category" , "war machine" ,
 "absence without leave" , "domain_category" , "armed forces" ,
 "absence without leave" , "domain_category" , "armed services" ,
 "absence without leave" , "domain_category" , "military machine" ,
 "absence without leave" , "domain_category" , "military" ,
 "absence without leave" , "domain_category" , "war machine" ,
 "aliyah" , "domain_category" , "Judaism" ,
 "aliyah" , "domain_category" , "Judaism" ,
 "pullback" , "domain_category" , "armed forces" ,
 "pullback" , "domain_category" , "armed services" ,
 "pullback" , "domain_category" , "military machine" ,
 "pullback" , "domain_category" , "military" ,
 "pullback" , "domain_category" , "war machine" ,
 "stand-down" , "domain_category" , "armed forces" ,
 "stand-down" , "domain_category" , "armed services" ,
 "stand-down" , "domain_category" , "military machine" ,
 "stand-down" , "domain_category" , "military" ,
 "stand-down" , "domain_category" , "war machine" ,
 "standdown" , "domain_category" , "armed forces" ,
 "standdown" , "domain_category" , "armed services" ,
 "standdown" , "domain_category" , "military machine" ,
 "standdown" , "domain_category" , "military" ,
 "standdown" , "domain_category" , "war machine" ,
 "fallback" , "domain_category" , "armed forces" ,
 "fallback" , "domain_category" , "armed services" ,
 "fallback" , "domain_category" , "military machine" ,
 "fallback" , "domain_category" , "military" ,
 "fallback" , "domain_category" , "war machine" ,
 "pullout" , "domain_category" , "armed forces" ,
 "pullout" , "domain_category" , "armed services" ,
 "pullout" , "domain_category" , "military machine" ,
 "pullout" , "domain_category" , "military" ,
 "pullout" , "domain_category" , "war machine" ,
 "disengagement" , "domain_category" , "armed forces" ,
 "disengagement" , "domain_category" , "armed services" ,
 "disengagement" , "domain_category" , "military machine" ,
 "disengagement" , "domain_category" , "military" ,
 "disengagement" , "domain_category" , "war machine" ,
 "amphibious landing" , "domain_category" , "armed forces" ,
